name,par_income_lab,attend,public,tier
Brown,0-20,0.006062483,Private,Ivy Plus
Brown,20-40,0.005036757,Private,Ivy Plus
Brown,40-60,0.00468445,Private,Ivy Plus
Brown,60-70,0.005397502,Private,Ivy Plus
Brown,70-80,0.005443149,Private,Ivy Plus
Brown,80-90,0.006410452,Private,Ivy Plus
Brown,90-95,0.006937305,Private,Ivy Plus
Brown,95-96,0.010242677,Private,Ivy Plus
Brown,96-97,0.009203283,Private,Ivy Plus
Brown,97-98,0.012476109,Private,Ivy Plus
Brown,98-99,0.014153101,Private,Ivy Plus
Brown,99-99.9,0.016524874,Private,Ivy Plus
Brown,Top 1,0.017317615,Private,Ivy Plus
Brown,Top 0.1,0.022422465,Private,Ivy Plus
Columbia,0-20,0.01082803,Private,Ivy Plus
Columbia,20-40,0.011238966,Private,Ivy Plus
Columbia,40-60,0.010622167,Private,Ivy Plus
Columbia,60-70,0.008931018,Private,Ivy Plus
Columbia,70-80,0.008667393,Private,Ivy Plus
Columbia,80-90,0.007833496,Private,Ivy Plus
Columbia,90-95,0.008211543,Private,Ivy Plus
Columbia,95-96,0.009111187,Private,Ivy Plus
Columbia,96-97,0.009840729,Private,Ivy Plus
Columbia,97-98,0.011673247,Private,Ivy Plus
Columbia,98-99,0.013613031,Private,Ivy Plus
Columbia,99-99.9,0.014533797,Private,Ivy Plus
Columbia,Top 1,0.015519165,Private,Ivy Plus
Columbia,Top 0.1,0.023024304,Private,Ivy Plus
Cornell,0-20,0.012218312,Private,Ivy Plus
Cornell,20-40,0.01308782,Private,Ivy Plus
Cornell,40-60,0.011795697,Private,Ivy Plus
Cornell,60-70,0.011104289,Private,Ivy Plus
Cornell,70-80,0.009847728,Private,Ivy Plus
Cornell,80-90,0.01081537,Private,Ivy Plus
Cornell,90-95,0.010348632,Private,Ivy Plus
Cornell,95-96,0.011799295,Private,Ivy Plus
Cornell,96-97,0.013487599,Private,Ivy Plus
Cornell,97-98,0.014321391,Private,Ivy Plus
Cornell,98-99,0.013989284,Private,Ivy Plus
Cornell,99-99.9,0.016592866,Private,Ivy Plus
Cornell,Top 1,0.016954012,Private,Ivy Plus
Cornell,Top 0.1,0.019525487,Private,Ivy Plus
Dartmouth,0-20,0.005269548,Private,Ivy Plus
Dartmouth,20-40,0.004966975,Private,Ivy Plus
Dartmouth,40-60,0.005647434,Private,Ivy Plus
Dartmouth,60-70,0.005970942,Private,Ivy Plus
Dartmouth,70-80,0.005238361,Private,Ivy Plus
Dartmouth,80-90,0.005570201,Private,Ivy Plus
Dartmouth,90-95,0.005400448,Private,Ivy Plus
Dartmouth,95-96,0.005581952,Private,Ivy Plus
Dartmouth,96-97,0.007731209,Private,Ivy Plus
Dartmouth,97-98,0.007701324,Private,Ivy Plus
Dartmouth,98-99,0.009704736,Private,Ivy Plus
Dartmouth,99-99.9,0.016949276,Private,Ivy Plus
Dartmouth,Top 1,0.018967163,Private,Ivy Plus
Dartmouth,Top 0.1,0.032102767,Private,Ivy Plus
Duke,0-20,0.005324914,Private,Ivy Plus
Duke,20-40,0.005450534,Private,Ivy Plus
Duke,40-60,0.005707197,Private,Ivy Plus
Duke,60-70,0.005262228,Private,Ivy Plus
Duke,70-80,0.006083361,Private,Ivy Plus
Duke,80-90,0.006552733,Private,Ivy Plus
Duke,90-95,0.007480927,Private,Ivy Plus
Duke,95-96,0.007224821,Private,Ivy Plus
Duke,96-97,0.008455657,Private,Ivy Plus
Duke,97-98,0.011622772,Private,Ivy Plus
Duke,98-99,0.012496449,Private,Ivy Plus
Duke,99-99.9,0.019589972,Private,Ivy Plus
Duke,Top 1,0.020571183,Private,Ivy Plus
Duke,Top 0.1,0.02822981,Private,Ivy Plus
Harvard,0-20,0.035773583,Private,Ivy Plus
Harvard,20-40,0.033579871,Private,Ivy Plus
Harvard,40-60,0.02226796,Private,Ivy Plus
Harvard,60-70,0.019233868,Private,Ivy Plus
Harvard,70-80,0.016676204,Private,Ivy Plus
Harvard,80-90,0.015635561,Private,Ivy Plus
Harvard,90-95,0.015905512,Private,Ivy Plus
Harvard,95-96,0.015460062,Private,Ivy Plus
Harvard,96-97,0.018701101,Private,Ivy Plus
Harvard,97-98,0.023877496,Private,Ivy Plus
Harvard,98-99,0.020868978,Private,Ivy Plus
Harvard,99-99.9,0.028537508,Private,Ivy Plus
Harvard,Top 1,0.031020455,Private,Ivy Plus
Harvard,Top 0.1,0.045827072,Private,Ivy Plus
MIT,0-20,0.016758166,Private,Ivy Plus
MIT,20-40,0.013722787,Private,Ivy Plus
MIT,40-60,0.014583995,Private,Ivy Plus
MIT,60-70,0.012194498,Private,Ivy Plus
MIT,70-80,0.012216954,Private,Ivy Plus
MIT,80-90,0.012630523,Private,Ivy Plus
MIT,90-95,0.015277062,Private,Ivy Plus
MIT,95-96,0.016033344,Private,Ivy Plus
MIT,96-97,0.01858899,Private,Ivy Plus
MIT,97-98,0.014719711,Private,Ivy Plus
MIT,98-99,0.012821614,Private,Ivy Plus
MIT,99-99.9,0.013226325,Private,Ivy Plus
MIT,Top 1,0.013489231,Private,Ivy Plus
MIT,Top 0.1,0.016107565,Private,Ivy Plus
Princeton,0-20,0.01347402,Private,Ivy Plus
