year,institution_type,dollar_type,four_and_two_year,four_year,two_year
1968,all,adjusted,11533,12219,8326
1969,all,adjusted,11647,12501,8133
1970,all,adjusted,11733,12668,7954
1971,all,adjusted,11860,12868,8031
1972,all,adjusted,12085,13379,8406
1973,all,adjusted,11511,12686,8217
1974,all,adjusted,10799,11907,7795
1975,all,adjusted,10696,11975,7493
1976,all,adjusted,10933,12382,7678
1977,all,adjusted,10855,12270,7670
1978,all,adjusted,10650,12011,7526
1979,all,adjusted,10204,11505,7191
1980,all,adjusted,10097,11393,7261
1981,all,adjusted,10457,11840,7419
1982,all,adjusted,11139,12660,7797
1983,all,adjusted,11547,13154,7909
1984,all,adjusted,12166,13760,8478
1985,all,adjusted,12660,14265,8726
1986,all,adjusted,13199,15121,8355
1987,all,adjusted,13377,15270,7944
1988,all,adjusted,13657,15651,8315
1989,all,adjusted,13787,16018,8229
1990,all,adjusted,13819,16009,8277
1991,all,adjusted,14441,16810,8350
1992,all,adjusted,14747,17329,8326
1993,all,adjusted,15298,17931,8581
1994,all,adjusted,15573,18241,8688
1995,all,adjusted,16064,18856,8625
1996,all,adjusted,16338,19240,8688
1997,all,adjusted,16718,19664,9053
1998,all,adjusted,17270,20377,9069
1999,all,adjusted,17376,20572,9028
2000,all,adjusted,17428,20815,8805
2001,all,adjusted,18012,21587,9050
2002,all,adjusted,18605,22361,9682
2003,all,adjusted,19631,23499,10161
2004,all,adjusted,20293,24290,10439
2005,all,adjusted,20740,24733,10255
2006,all,adjusted,21394,25521,10316
2007,all,adjusted,21618,25797,10174
2008,all,adjusted,22394,26751,10798
2009,all,adjusted,22967,27490,11114
2010,all,adjusted,23568,28158,11312
2011,all,adjusted,24044,28518,11583
2012,all,adjusted,24665,29099,11670
2013,all,adjusted,25200,29648,11872
2014,all,adjusted,25892,30277,12098
2015,all,adjusted,26559,30931,12318
2016,all,adjusted,26838,30907,12317
2017,all,adjusted,27089,31094,12166
2018,all,adjusted,27414,31314,12683
2019,all,adjusted,27717,31548,12480
2020,all,adjusted,27764,31111,12740
2021,all,adjusted,26903,30031,11976
1968,public,adjusted,8789,9037,6982
1969,public,adjusted,8933,9242,7100
1970,public,adjusted,9059,9413,7085
1971,public,adjusted,9232,9628,7354
1972,public,adjusted,9568,10234,7886
1973,public,adjusted,9164,9654,7706
1974,public,adjusted,8501,8966,7291
1975,public,adjusted,8457,9050,7048
1976,public,adjusted,8596,9298,7163
1977,public,adjusted,8499,9176,7158
1978,public,adjusted,8208,8830,6962
1979,public,adjusted,7865,8455,6617
1980,public,adjusted,7727,8303,6600
1981,public,adjusted,7980,8603,6665
1982,public,adjusted,8461,9184,6866
1983,public,adjusted,8745,9512,7021
1984,public,adjusted,9087,9817,7485
1985,public,adjusted,9256,10000,7726
1986,public,adjusted,9647,10491,7578
1987,public,adjusted,9860,10720,7463
1988,public,adjusted,9946,10887,7407
1989,public,adjusted,10003,11051,7328
1990,public,adjusted,10018,11041,7302
1991,public,adjusted,10485,11618,7392
1992,public,adjusted,10643,11912,7517
1993,public,adjusted,10983,12277,7707
1994,public,adjusted,11185,12507,7757
1995,public,adjusted,11419,12803,7697
1996,public,adjusted,11589,13017,7816
1997,public,adjusted,11880,13380,7863
1998,public,adjusted,12181,13758,7892
1999,public,adjusted,12174,13784,7880
2000,public,adjusted,12219,13938,7794
2001,public,adjusted,12696,14555,8131
2002,public,adjusted,13166,15157,8675
2003,public,adjusted,14014,16177,9111
2004,public,adjusted,14513,16810,9380
2005,public,adjusted,14817,17161,9200
2006,public,adjusted,15268,17683,9416
2007,public,adjusted,15414,17890,9295
2008,public,adjusted,16040,18672,9918
2009,public,adjusted,16681,19565,10030
2010,public,adjusted,17305,20307,10305
2011,public,adjusted,17795,20804,10679
2012,public,adjusted,18311,21302,10883
2013,public,adjusted,18759,21725,11142
2014,public,adjusted,19290,22202,11422
2015,public,adjusted,19845,22731,11735
2016,public,adjusted,20035,22650,11727
2017,public,adjusted,20225,22788,11685
2018,public,adjusted,20468,22936,12194
2019,public,adjusted,20652,23063,12126
2020,public,adjusted,20762,22867,12389
2021,public,adjusted,19920,21878,11619
1968,private,adjusted,18353,18630,14834
1969,private,adjusted,18870,19103,14880
1970,private,adjusted,19375,19555,14930
1971,private,adjusted,19891,20003,14982
1972,private,adjusted,20002,20366,14975
1973,private,adjusted,19128,19488,14578
1974,private,adjusted,18449,18537,14109
1975,private,adjusted,18532,18657,13786
1976,private,adjusted,18769,19110,14276
